GRB,GPS,RA_rad,DEC_rad,T90_s,LIGO_run
GRB170121067,1168997831.640605,0.052883476335428184,-1.319817980358112,2.304,O2
GRB170304003,1172621084.070442,5.768313177841259,-1.2873548562710175,0.16,O2
GRB230709735,1372959524.8246753,4.669802946636028,-1.2299335238804041,0.192,O4a
GRB230723194,1374122341.466755,0.39983747833938094,-1.1704003430948775,0.768,O4a
GRB190420981,1239838362.9660957,5.572661768692695,-1.1590731562494343,1.472,O3a
GRB190903722,1251566394.2554462,1.0896090520200599,-1.132020552843522,0.272,O3a
GRB170127067,1169516165.7905855,5.922425750792359,-1.1159635237251744,0.128,O2
GRB200219317,1266133027.0958781,5.980161242448331,-1.0318386537790476,1.152,O3b
GRB200323782,1269024410.9559457,2.7309166805955276,-0.9693558665576506,2.112,O3b
GRB240115461,1389351812.105088,0.28431413514987625,0.43580871422298406,1.792,O4a
GRB150923864,1127076280.6462207,1.1733848561157878,-0.8728391589223642,1.792,O1
GRB230906538,1378040125.1485248,1.420174412347786,-0.8274605983705116,1.024,O4a
GRB240817057,1407892945.87679,3.9622464678775273,-0.7995353303386024,1.728,O4b
GRB240807920,1407103471.586707,5.189736530805139,-0.7454301235267782,0.832,O4b
GRB191221802,1260990886.8443038,0.7126179335892847,-0.7511897100583594,2.24,O3b
GRB240810880,1407359257.8828766,2.4450317491188565,-0.7225663103256524,1.536,O4b
GRB230903724,1377796996.8148892,0.17324138155295715,-0.7142585430861594,2.816,O4a
GRB150923429,1127038714.9236224,4.674166269766014,-0.7096508738608943,0.192,O1
GRB170802638,1185722322.801293,0.9128071987930343,-0.6843435997069767,2.24,O2
GRB190712018,1246926338.655379,5.95261994685186,-0.6703809656910219,1.792,O3a
GRB190810675,1249488739.242605,3.382099024514612,-0.6555456670490702,0.16,O3a
GRB170726249,1185083913.4196253,2.904576941168963,-0.5934119456780721,1.792,O2
GRB240112742,1389116905.4633474,3.7988836498908576,-0.568802803224952,1.28,O4a
GRB200325138,1269141529.7424095,0.5536236747203573,-0.5552939548145158,0.96,O3b
GRB170127634,1169565226.769491,0.34865744335389925,-0.5298610169544545,1.728,O2
GRB240715239,1405057461.2560802,0.14643312424232427,-0.5134758659367318,0.16,O4b
GRB230725439,1374316388.8788962,3.616845808907849,0.08587019919812101,0.576,O4a
GRB190525032,1242780365.6516733,5.8995619375912325,0.09512044423369097,0.896,O3a
GRB230702527,1372336751.0617054,1.6166984861223475,-0.4785692808968452,2.432,O4a
GRB191227723,1261502522.1441214,4.505916529873761,-0.4539601384437251,0.208,O3b
GRB250117849,1421180535.8936446,4.4078290259116795,-0.45692719817211547,0.832022,O4b
GRB151202565,1133098446.808275,5.698325474836286,-0.4305727264670011,0.704,O1
GRB170817529,1187008884.474624,3.4461526080628033,-0.40808415905505413,2.048,O2
GRB161218222,1166073580.178288,1.8353882413972369,-0.34330626386728463,0.32,O2
GRB240603102,1401416871.4844642,5.657659303264819,-0.3302162944773272,2.496,O4b
GRB151228129,1135307129.462317,3.7350744124379447,-0.30873129138527694,0.256,O1
GRB200221162,1266292396.7112098,2.7419122548830916,0.5784021141109208,1.728,O3b
GRB241207869,1417639879.745712,4.0983821495330846,-0.2501056818107874,0.256,O4b
GRB240821775,1408300580.6017632,6.1824800013257315,-0.1776745230890105,1.728,O4b
GRB190407788,1238698499.5776675,3.538480525493304,-0.1387536755335492,2.432,O3a
GRB240624251,1403244089.371411,1.787985098913071,-0.11419689295798899,2.04804,O4b
GRB150922234,1126935466.0763843,5.137917705313427,-0.09574876276440891,0.144,O1
GRB240625314,1403335978.6305597,2.0724039538180667,-0.08621926504851989,0.152,O4b
GRB190630257,1245910216.3190496,5.357811737772193,-0.023212879051524585,0.224,O3a
GRB190606080,1243821325.7762496,1.33587500947646,-0.011868238913561441,0.224,O3a
GRB250128683,1422116591.7727296,4.039145674720397,-0.009419541973013396,1.12,O4b
GRB170709334,1183622441.979427,5.411218812883219,0.038397243543875255,1.856,O2
GRB240824549,1408540294.698739,0.3112794720931887,0.045727626402251434,1.472,O4b
GRB190905985,1251761926.4886525,4.092448030076303,0.05445427266222309,0.704,O3a
GRB231206789,1385924215.5986114,0.7307693578100257,0.06824237375297829,2.816,O4a
GRB190728271,1248330654.8524225,6.225414908938574,0.0947713783832921,0.832,O3a
GRB241209233,1417757762.162333,2.7118227785787097,0.11023499555596185,0.128,O4b
GRB241204152,1417318780.5146883,5.523967082562053,0.11431906600562858,0.768,O4b
GRB170124528,1169296847.031629,0.18936822384138474,0.1923352835697751,0.448,O2
GRB170305256,1172729364.784387,0.6747442888210078,0.21101030656611444,0.448,O2
GRB170816599,1186928601.9549985,6.1233306009894255,0.22432716875883119,1.6,O2
GRB170121133,1169003470.0245984,4.223522256901078,0.24102996970041693,1.6,O2
GRB240905186,1409545654.1398082,4.6774823953448035,0.24783675378319478,1.28,O4b
GRB170206453,1170413535.6959903,3.7138861153187337,0.2527236756887789,1.168,O2
GRB250119945,1421361684.3021984,2.860071045243108,0.2631956512007449,1.024,O4b
GRB240109168,1388808113.2090275,5.258991195524273,0.28934068339561997,0.256,O4a
GRB170711713,1183828014.4770434,4.862661828981402,0.3008947630438224,1.152,O2
GRB170403583,1175263175.7975454,4.5263194288295745,0.3206693434689182,0.48,O2
GRB240429628,1398438286.9260478,0.2389355745980237,0.3227113786937515,2.048,O4b
GRB231012231,1381123958.5564127,0.516791991515521,0.34417892849328174,0.832,O4a
GRB170708046,1183511189.255731,5.8614264934351565,0.3455402853098373,0.144,O2
GRB170325331,1174463836.0410526,2.2249980903199313,0.35824628226435606,0.576,O2
GRB240616234,1402551421.1006975,2.607870968329927,0.36582101121801147,0.016,O4b
GRB231205101,1385778329.40744,3.5964254566595155,0.39706240482870997,0.32,O4a
GRB170504734,1177954668.9853919,5.109625918138599,0.4824090052512327,0.704,O2
GRB170222209,1171774877.080291,5.113046763472508,0.49237483528012027,1.664,O2
GRB151231568,1135604305.1653566,2.61939014139309,0.5028293574995664,0.832,O1
GRB170101374,1167296331.909053,2.7487190389658696,0.5044001538263612,2.304,O2
GRB240910488,1410003768.5525088,2.9904471403670843,0.510334273283142,1.408,O4b
GRB190515190,1241930001.1351683,2.4030914871934326,0.51096259181386,1.264,O3a
GRB170714049,1184029869.1230435,0.317649923862968,0.515570261039125,0.224,O2
GRB240720017,1405470309.2160478,1.6877333866785167,0.5295678016401194,1.792,O4b
GRB240101540,1388149061.759539,0.0825540736193318,0.5316272901574728,0.352,O4a
GRB190504678,1241021806.3133852,2.398605991015807,0.5761331860833282,0.704,O3a
GRB190510430,1241518774.0438657,2.2362903705803343,0.5855579640440975,0.64,O3a
GRB151222340,1134807030.624003,6.1990604372334595,0.640535835481919,0.768,O1
GRB240615744,1402509123.0529342,5.692234275746826,0.6736063341487075,0.096,O4b
GRB161227498,1166875055.2140992,1.387536755335492,0.68329640215578,2.56,O2
GRB190427190,1240374873.0807068,4.890639456890871,0.7037516609891536,0.368,O3a
GRB170604603,1180621703.0863006,5.941798905489495,0.7098254067860938,0.32,O2
GRB230919707,1379177921.8570752,1.0156070917355002,0.7185520530460655,2.944,O4a
GRB190505051,1241054067.3295681,5.853659778263782,0.7361798784912083,0.032,O3a
GRB230701948,1372286697.1219873,2.020044076258237,0.7508406442079606,2.816,O4a
GRB240514169,1399694643.0399745,0.08848819307611251,0.7770205829878756,1.408,O4b
GRB240525491,1400672876.0495906,4.893379623816502,0.7773696488382744,0.64,O4b
GRB170817908,1187041672.4338655,1.4491468779308918,0.8738863564735608,2.624,O2
GRB170219002,1171497805.1230464,0.9571909216712502,0.8739212630586007,0.096,O2
GRB170506169,1178078586.2011292,1.9593066182888343,0.9053022830094587,0.832,O2
GRB190601325,1243410462.175795,2.844537614900358,0.9527752386637045,0.64,O3a
GRB170511477,1178537233.1231234,1.656317460142619,0.9871582249279929,2.304,O2
GRB240502906,1398721522.7487168,2.912605455728137,1.1571532940722404,0.768,O4b
GRB161212652,1165592356.37936,0.4352851154473858,1.1908381486357311,2.816,O2
GRB230525449,1369046786.3315425,0.790110552377833,1.2103858362580675,0.112,O4a
GRB231115650,1384097799.2013505,2.600558038764071,1.2161471681189007,0.032,O4a
GRB150912600,1126103088.6117728,5.6087900842089775,1.278628210011046,0.32,O1
